시도,군구,여행한 광역시/도(해외여행: 국가),여행한 광역시/도 내 시/군1(해외여행: 도시),,,,,
서울,종로구,911,010,서울 종로구,,,,
서울,중구,911,020,서울 중구,,,,
서울,용산구,911,030,서울 용산구,,,,
서울,성동구,911,040,서울 성동구,,,,
서울,광진구,911,050,서울 광진구,,,,
서울,동대문구,911,060,서울 동대문구,,,,
서울,중랑구,911,070,서울 중랑구,,,,
서울,성북구,911,080,서울 성북구,,,,
서울,강북구,911,090,서울 강북구,,,,
서울,도봉구,911,100,서울 도봉구,,,,
서울,노원구,911,110,서울 노원구,,,,
서울,은평구,911,120,서울 은평구,,,,
서울,서대문구,911,130,서울 서대문구,,,,
서울,마포구,911,140,서울 마포구,,,,
서울,양천구,911,150,서울 양천구,,,,
서울,강서구,911,160,서울 강서구,,,,
서울,구로구,911,170,서울 구로구,,,,
서울,금천구,911,180,서울 금천구,,,,
서울,영등포구,911,190,서울 영등포구,,,,
서울,동작구,911,200,서울 동작구,,,,
서울,관악구,911,210,서울 관악구,,,,
서울,서초구,911,220,서울 서초구,,,,
서울,강남구,911,230,서울 강남구,,,,
서울,송파구,911,240,서울 송파구,,,,
서울,강동구,911,250,서울 강동구,,,,
부산,중구,921,010,부산 중구,,,,
부산,서구,921,020,부산 서구,,,,
부산,동구,921,030,부산 동구,,,,
부산,영도구,921,040,부산 영도구,,,,
부산,부산진구,921,050,부산 부산진구,,,,
부산,동래구,921,060,부산 동래구,,,,
부산,남구,921,070,부산 남구,,,,
부산,북구,921,080,부산 북구,,,,
부산,해운대구,921,090,부산 해운대구,,,,
부산,사하구,921,100,부산 사하구,,,,
부산,금정구,921,110,부산 금정구,,,,
부산,강서구,921,120,부산 강서구,,,,
부산,연제구,921,130,부산 연제구,,,,
부산,수영구,921,140,부산 수영구,,,,
부산,사상구,921,150,부산 사상구,,,,
부산,기장군,921,310,부산 기장군,,,,
대구,중구,922,010,대구 중구,,,,
대구,동구,922,020,대구 동구,,,,
대구,서구,922,030,대구 서구,,,,
대구,남구,922,040,대구 남구,,,,
대구,북구,922,050,대구 북구,,,,
대구,수성구,922,060,대구 수성구,,,,
대구,달서구,922,070,대구 달서구,,,,
대구,달성군,922,310,대구 달성군,,,,
인천,중구,923,010,인천 중구,,,,
인천,동구,923,020,인천 동구,,,,
인천,남구,923,030,인천 남구,,,,
인천,연수구,923,040,인천 연수구,,,,
인천,남동구,923,050,인천 남동구,,,,
인천,부평구,923,060,인천 부평구,,,,
인천,계양구,923,070,인천 계양구,,,,
인천,서구,923,080,인천 서구,,,,
인천,강화군,923,310,인천 강화군,,,,
인천,옹진군,923,320,인천 옹진군,,,,
광주,동구,924,010,광주 동구,,,,
광주,서구,924,020,광주 서구,,,,
광주,남구,924,030,광주 남구,,,,
광주,북구,924,040,광주 북구,,,,
광주,광산구,924,050,광주 광산구,,,,
대전,동구,925,010,대전 동구,,,,
대전,중구,925,020,대전 중구,,,,
대전,서구,925,030,대전 서구,,,,
대전,유성구,925,040,대전 유성구,,,,
대전,대덕구,925,050,대전 대덕구,,,,
울산,중구,926,010,울산 중구,,,,
울산,남구,926,020,울산 남구,,,,
울산,동구,926,030,울산 동구,,,,
울산,북구,926,040,울산 북구,,,,
울산,울주군,926,310,울산 울주군,,,,
세종,세종시전체,929,010,세종 세종시전체,,,,
경기,수원시,931,010,경기 수원시,,,,
경기,성남시,931,020,경기 성남시,,,,
경기,의정부시,931,030,경기 의정부시,,,,
경기,안양시,931,040,경기 안양시,,,,
경기,부천시,931,050,경기 부천시,,,,
경기,광명시,931,060,경기 광명시,,,,
경기,평택시,931,070,경기 평택시,,,,
경기,동두천시,931,080,경기 동두천시,,,,
경기,안산시,931,090,경기 안산시,,,,
경기,고양시,931,100,경기 고양시,,,,
경기,과천시,931,110,경기 과천시,,,,
경기,구리시,931,120,경기 구리시,,,,
경기,남양주시,931,130,경기 남양주시,,,,
경기,오산시,931,140,경기 오산시,,,,
경기,시흥시,931,150,경기 시흥시,,,,
경기,군포시,931,160,경기 군포시,,,,
경기,의왕시,931,170,경기 의왕시,,,,
경기,하남시,931,180,경기 하남시,,,,
경기,용인시,931,190,경기 용인시,,,,
경기,파주시,931,200,경기 파주시,,,,
경기,이천시,931,210,경기 이천시,,,,
경기,안성시,931,220,경기 안성시,,,,
경기,김포시,931,230,경기 김포시,,,,
경기,화성시,931,240,경기 화성시,,,,
경기,광주시,931,250,경기 광주시,,,,
경기,양주시,931,260,경기 양주시,,,,
경기,포천시,931,270,경기 포천시,,,,
경기,여주군,931,320,경기 여주군,,,,
경기,연천군,931,350,경기 연천군,,,,
경기,가평군,931,370,경기 가평군,,,,
경기,양평군,931,380,경기 양평군,,,,
강원,춘천시,932,010,강원 춘천시,,,,
강원,원주시,932,020,강원 원주시,,,,
강원,강릉시,932,030,강원 강릉시,,,,
강원,동해시,932,040,강원 동해시,,,,
강원,태백시,932,050,강원 태백시,,,,
강원,속초시,932,060,강원 속초시,,,,
강원,삼척시,932,070,강원 삼척시,,,,
강원,홍천군,932,310,강원 홍천군,,,,
강원,횡성군,932,320,강원 횡성군,,,,
강원,영월군,932,330,강원 영월군,,,,
강원,평창군,932,340,강원 평창군,,,,
강원,정선군,932,350,강원 정선군,,,,
강원,철원군,932,360,강원 철원군,,,,
강원,화천군,932,370,강원 화천군,,,,
강원,양구군,932,380,강원 양구군,,,,
강원,인제군,932,390,강원 인제군,,,,
강원,고성군,932,400,강원 고성군,,,,
강원,양양군,932,410,강원 양양군,,,,
충북,청주시,933,010,충북 청주시,,,,
충북,충주시,933,020,충북 충주시,,,,
충북,제천시,933,030,충북 제천시,,,,
충북,청원군,933,310,충북 청원군,,,,
충북,보은군,933,320,충북 보은군,,,,
충북,옥천군,933,330,충북 옥천군,,,,
충북,영동군,933,340,충북 영동군,,,,
충북,진천군,933,350,충북 진천군,,,,
충북,괴산군,933,360,충북 괴산군,,,,
충북,음성군,933,370,충북 음성군,,,,
충북,단양군,933,380,충북 단양군,,,,
충북,증평군,933,390,충북 증평군,,,,
충남,천안시,934,010,충남 천안시,,,,
충남,공주시,934,020,충남 공주시,,,,
충남,보령시,934,030,충남 보령시,,,,
충남,아산시,934,040,충남 아산시,,,,
충남,서산시,934,050,충남 서산시,,,,
충남,논산시,934,060,충남 논산시,,,,
충남,계룡시,934,070,충남 계룡시,,,,
충남,당진시,934,080,충남 당진시,,,,
충남,금산군,934,310,충남 금산군,,,,
충남,연기군,934,320,충남 연기군,,,,
충남,부여군,934,330,충남 부여군,,,,
충남,서천군,934,340,충남 서천군,,,,
충남,청양군,934,350,충남 청양군,,,,
충남,홍성군,934,360,충남 홍성군,,,,
충남,예산군,934,370,충남 예산군,,,,
충남,태안군,934,380,충남 태안군,,,,
전북,전주시,935,010,전북 전주시,,,,
전북,군산시,935,020,전북 군산시,,,,
전북,익산시,935,030,전북 익산시,,,,
전북,정읍시,935,040,전북 정읍시,,,,
전북,남원시,935,050,전북 남원시,,,,
전북,김제시,935,060,전북 김제시,,,,
전북,완주군,935,310,전북 완주군,,,,
전북,진안군,935,320,전북 진안군,,,,
전북,무주군,935,330,전북 무주군,,,,
전북,장수군,935,340,전북 장수군,,,,
전북,임실군,935,350,전북 임실군,,,,
전북,순창군,935,360,전북 순창군,,,,
전북,고창군,935,370,전북 고창군,,,,
전북,부안군,935,380,전북 부안군,,,,
전남,목포시,936,010,전남 목포시,,,,
전남,여수시,936,020,전남 여수시,,,,
전남,순천시,936,030,전남 순천시,,,,
전남,나주시,936,040,전남 나주시,,,,
전남,광양시,936,060,전남 광양시,,,,
전남,담양군,936,310,전남 담양군,,,,
전남,곡성군,936,320,전남 곡성군,,,,
전남,구례군,936,330,전남 구례군,,,,
전남,고흥군,936,350,전남 고흥군,,,,
전남,보성군,936,360,전남 보성군,,,,
전남,화순군,936,370,전남 화순군,,,,
전남,장흥군,936,380,전남 장흥군,,,,
전남,강진군,936,390,전남 강진군,,,,
전남,해남군,936,400,전남 해남군,,,,
전남,영암군,936,410,전남 영암군,,,,
전남,무안군,936,420,전남 무안군,,,,
전남,함평군,936,430,전남 함평군,,,,
전남,영광군,936,440,전남 영광군,,,,
전남,장성군,936,450,전남 장성군,,,,
전남,완도군,936,460,전남 완도군,,,,
